0.098685
101.000000	0.098685	0.156735
102.000000	0.156735	0.220590
101.000000	0.220590	0.272834
102.000000	0.272834	0.342494
101.000000	0.342494	0.394739
102.000000	0.394739	0.458594
101.000000	0.458594	0.516644
102.000000	0.516644	0.580499
101.000000	0.580499	0.632744
101.000000	0.632744	0.702404
101.000000	0.702404	0.754649
102.000000	0.754649	0.818503
101.000000	0.818503	0.876553
102.000000	0.876553	0.940408
101.000000	0.940408	0.992653
101.000000	0.992653	1.062313
101.000000	1.062313	1.114558
102.000000	1.114558	1.178413
101.000000	1.178413	1.236463
102.000000	1.236463	1.300317
101.000000	1.300317	1.358367
102.000000	1.358367	1.422222
101.000000	1.422222	1.474467
102.000000	1.474467	1.544127
101.000000	1.544127	1.596372
102.000000	1.596372	1.648617
