0.081270
86.000000	0.081270	0.150930
93.000000	0.150930	0.214785
84.000000	0.214785	0.290249
79.000000	0.290249	0.348299
83.000000	0.348299	0.412154
90.000000	0.412154	0.481814
82.000000	0.481814	0.545669
89.000000	0.545669	0.615329
81.000000	0.615329	0.679184
88.000000	0.679184	0.748844
80.000000	0.748844	0.812698
87.000000	0.812698	0.888163
78.000000	0.888163	0.946213
85.000000	0.946213	1.015873
77.000000	1.015873	1.079728
84.000000	1.079728	1.155193
76.000000	1.155193	1.219048
83.000000	1.219048	1.288707
74.000000	1.288707	1.346757
81.000000	1.346757	1.416417
73.000000	1.416417	1.480272
80.000000	1.480272	1.555737
72.000000	1.555737	1.619592
79.000000	1.619592	1.689252
71.000000	1.689252	1.741497
65.000000	1.741497	3.215964
